创建了新的github文件
再次创建
NO. 	X(m) 	Y(m) 	Z(m) 	T(ms) 	Voltage(nv/(Am^2)) 	Distance(m) 	Resistivity(ohm.m) 	Depth(m)
10 	0.0 	10.0 	0.0 	4.20500E-01 	2.31692E05 	10.0000 	0.0007 	-0.3910
10 	0.0 	10.0 	0.0 	5.66500E-01 	4.07096E04 	10.0000 	0.0014 	-0.6321
10 	0.0 	10.0 	0.0 	7.64500E-01 	3.79523E03 	10.0000 	0.0042 	-1.2615
10 	0.0 	10.0 	0.0 	1.03300E00 	2.41707E02 	10.0000 	0.0158 	-2.8573
11 	0.0 	11.0 	0.0 	7.50000E-03 	3.56218E07 	11.0000 	0.0208 	-0.2794
11 	0.0 	11.0 	0.0 	1.00000E-02 	3.42148E07 	11.0000 	0.0132 	-0.2572
11 	0.0 	11.0 	0.0 	1.30000E-02 	3.35708E07 	11.0000 	0.0087 	-0.2372
11 	0.0 	11.0 	0.0 	1.65000E-02 	3.16087E07 	11.0000 	0.0061 	-0.2235
11 	0.0 	11.0 	0.0 	2.10000E-02 	2.98253E07 	11.0000 	0.0042 	-0.2103
11 	0.0 	11.0 	0.0 	2.70000E-02 	2.78088E07 	11.0000 	0.0029 	-0.1980
11 	0.0 	11.0 	0.0 	3.50000E-02 	2.52050E07 	11.0000 	0.0020 	-0.1876
11 	0.0 	11.0 	0.0 	4.55000E-02 	2.21116E07 	11.0000 	0.0014 	-0.1796
11 	0.0 	11.0 	0.0 	5.90000E-02 	1.87157E07 	11.0000 	0.0010 	-0.1741
11 	0.0 	11.0 	0.0 	7.65000E-02 	1.50740E07 	11.0000 	0.0008 	-0.1716
11 	0.0 	11.0 	0.0 	1.00000E-01 	1.12808E07 	11.0000 	0.0006 	-0.1728
11 	0.0 	11.0 	0.0 	1.32000E-01 	7.61103E06 	11.0000 	0.0005 	-0.1796
11 	0.0 	11.0 	0.0 	1.75500E-01 	4.46505E06 	11.0000 	0.0004 	-0.1952
11 	0.0 	11.0 	0.0 	2.34000E-01 	2.18626E06 	11.0000 	0.0004 	-0.2250
11 	0.0 	11.0 	0.0 	3.13000E-01 	8.38680E05 	11.0000 	0.0005 	-0.2810
11 	0.0 	11.0 	0.0 	4.20500E-01 	2.30494E05 	11.0000 	0.0007 	-0.3917
11 	0.0 	11.0 	0.0 	5.66500E-01 	4.06399E04 	11.0000 	0.0014 	-0.6325
11 	0.0 	11.0 	0.0 	7.64500E-01 	3.90145E03 	11.0000 	0.0041 	-1.2499
11 	0.0 	11.0 	0.0 	1.03300E00 	8.74798E01 	11.0000 	0.0311 	-4.0094
12 	0.0 	12.0 	0.0 	7.50000E-03 	3.57216E07 	12.0000 	0.0208 	-0.2791
12 	0.0 	12.0 	0.0 	1.00000E-02 	3.43878E07 	12.0000 	0.0132 	-0.2568
12 	0.0 	12.0 	0.0 	1.30000E-02 	3.37714E07 	12.0000 	0.0086 	-0.2367
12 	0.0 	12.0 	0.0 	1.65000E-02 	3.17609E07 	12.0000 	0.0060 	-0.2232
12 	0.0 	12.0 	0.0 	2.10000E-02 	2.99717E07 	12.0000 	0.0042 	-0.2099
12 	0.0 	12.0 	0.0 	2.70000E-02 	2.79405E07 	12.0000 	0.0029 	-0.1976
12 	0.0 	12.0 	0.0 	3.50000E-02 	2.53306E07 	12.0000 	0.0020 	-0.1873
12 	0.0 	12.0 	0.0 	4.55000E-02 	2.22207E07 	12.0000 	0.0014 	-0.1793
12 	0.0 	12.0 	0.0 	5.90000E-02 	1.88073E07 	12.0000 	0.0010 	-0.1738
12 	0.0 	12.0 	0.0 	7.65000E-02 	1.51477E07 	12.0000 	0.0008 	-0.1713
12 	0.0 	12.0 	0.0 	1.00000E-01 	1.13359E07 	12.0000 	0.0006 	-0.1726
12 	0.0 	12.0 	0.0 	1.32000E-01 	7.64807E06 	12.0000 	0.0005 	-0.1794
12 	0.0 	12.0 	0.0 	1.75500E-01 	4.48643E06 	12.0000 	0.0004 	-0.1948
12 	0.0 	12.0 	0.0 	2.34000E-01 	2.19650E06 	12.0000 	0.0004 	-0.2246
12 	0.0 	12.0 	0.0 	3.13000E-01 	8.42754E05 	12.0000 	0.0005 	-0.2805
12 	0.0 	12.0 	0.0 	4.20500E-01 	2.31656E05 	12.0000 	0.0007 	-0.3910
12 	0.0 	12.0 	0.0 	5.66500E-01 	4.06250E04 	12.0000 	0.0014 	-0.6325
12 	0.0 	12.0 	0.0 	7.64500E-01 	3.96176E03 	12.0000 	0.0040 	-1.2436
12 	0.0 	12.0 	0.0 	1.03300E00 	5.46117E01 	12.0000 	0.0426 	-4.6913
13 	0.0 	13.0 	0.0 	7.50000E-03 	3.57322E07 	13.0000 	0.0208 	-0.2791
13 	0.0 	13.0 	0.0 	1.00000E-02 	3.43766E07 	13.0000 	0.0132 	-0.2568
13 	0.0 	13.0 	0.0 	1.30000E-02 	3.37528E07 	13.0000 	0.0086 	-0.2368
13 	0.0 	13.0 	0.0 	1.65000E-02 	3.17691E07 	13.0000 	0.0060 	-0.2231
13 	0.0 	13.0 	0.0 	2.10000E-02 	2.99791E07 	13.0000 	0.0042 	-0.2099
13 	0.0 	13.0 	0.0 	2.70000E-02 	2.79518E07 	13.0000 	0.0029 	-0.1976
13 	0.0 	13.0 	0.0 	3.50000E-02 	2.53366E07 	13.0000 	0.0020 	-0.1873
13 	0.0 	13.0 	0.0 	4.55000E-02 	2.22264E07 	13.0000 	0.0014 	-0.1792
